title,genre,mood,language,rating,year,duration_min,platform,description
Inception,Sci-Fi|Thriller,Focused,English,4.8,2010,148,Prime Video,"A mind-bending thriller about dreams within dreams."
3 Idiots,Comedy|Drama,Happy,Hindi,4.7,2009,170,Netflix,"A heartfelt college story with humor and emotion."
Parasite,Thriller|Drama,Curious,Korean,4.6,2019,132,Prime Video,"A dark social satire full of unexpected turns."
The Pursuit of Happyness,Drama|Biography,Motivated,English,4.5,2006,117,Netflix,"An inspiring journey of resilience and hope."
Interstellar,Sci-Fi|Drama,Thoughtful,English,4.7,2014,169,JioHotstar,"A space adventure exploring time, love, and survival."
Zindagi Na Milegi Dobara,Comedy|Drama,Happy,Hindi,4.4,2011,155,Netflix,"Friends rediscover life during a road trip in Spain."
Spirited Away,Fantasy|Adventure,Calm,Japanese,4.8,2001,125,Netflix,"A magical coming-of-age story in a spirit world."
The Dark Knight,Action|Crime,Focused,English,4.9,2008,152,JioHotstar,"A gripping superhero crime drama with iconic performances."
Dangal,Sports|Drama,Motivated,Hindi,4.6,2016,161,Netflix,"A true story about determination and family ambition."
Amelie,Romance|Comedy,Calm,French,4.3,2001,122,Prime Video,"A whimsical story of kindness and connection in Paris."
Your Name,Romance|Fantasy,Emotional,Japanese,4.6,2016,106,Netflix,"A beautiful tale of destiny, time, and memory."
The Martian,Sci-Fi|Adventure,Focused,English,4.4,2015,144,Prime Video,"A stranded astronaut fights to survive on Mars."
The Shawshank Redemption,Drama,Thoughtful,English,4.9,1994,142,Netflix,"A powerful story of hope and friendship in prison."
Whiplash,Drama|Music,Focused,English,4.5,2014,106,Prime Video,"A driven student and a demanding teacher push limits."
Coco,Animation|Family,Happy,English,4.6,2017,105,Disney+,"A colorful celebration of family and memory."
The Social Network,Drama|Biography,Curious,English,4.2,2010,120,Netflix,"The rise of a social platform and its human cost."
Joker,Crime|Drama,Emotional,English,4.1,2019,122,JioHotstar,"A disturbing origin story of a troubled outsider."
Baahubali: The Beginning,Action|Fantasy,Excited,Hindi,4.2,2015,159,Netflix,"An epic tale of valor, legacy, and revenge."
Baahubali 2: The Conclusion,Action|Drama,Excited,Hindi,4.5,2017,167,Netflix,"The saga continues with revelation and redemption."
RRR,Action|Drama,Excited,Telugu,4.6,2022,182,Netflix,"A spectacular friendship story set against colonial rule."
Kantara,Thriller|Drama,Curious,Kannada,4.3,2022,147,Prime Video,"Folklore and faith collide in a gripping village tale."
K.G.F Chapter 1,Action|Crime,Focused,Kannada,4.2,2018,156,Prime Video,"A stylized underworld rise in the gold fields."
K.G.F Chapter 2,Action|Crime,Excited,Kannada,4.4,2022,168,Prime Video,"Power battles intensify in a high-stakes sequel."
The Grand Budapest Hotel,Comedy|Adventure,Calm,English,4.2,2014,99,Disney+,"A stylish hotel caper full of eccentric charm."
Ford v Ferrari,Sports|Drama,Motivated,English,4.4,2019,152,JioHotstar,"Engineers and racers chase speed and glory."
The Intouchables,Comedy|Drama,Happy,French,4.5,2011,112,Prime Video,"An unlikely friendship blossoms with warmth and humor."
Drishyam,Thriller|Drama,Focused,Hindi,4.4,2015,163,JioCinema,"A family man outsmarts a relentless investigation."
Drishyam 2,Thriller|Drama,Focused,Hindi,4.5,2022,140,Prime Video,"Secrets return as old wounds reopen."
A Beautiful Mind,Drama|Biography,Thoughtful,English,4.3,2001,135,Prime Video,"A genius confronts personal and professional struggles."
The Imitation Game,Drama|History,Thoughtful,English,4.2,2014,114,Netflix,"A mathematician decodes wartime secrets."
Minari,Drama,Calm,Korean,4.1,2020,115,Prime Video,"A family seeks a new beginning on rural land."
Arrival,Sci-Fi|Drama,Curious,English,4.3,2016,116,Netflix,"A linguist unravels an alien message and time itself."
Soul,Animation|Fantasy,Calm,English,4.4,2020,100,Disney+,"A musician reflects on purpose and joy."
The Lunchbox,Romance|Drama,Emotional,Hindi,4.3,2013,104,Netflix,"A mistaken lunch delivery sparks a tender bond."
96,Romance|Drama,Emotional,Tamil,4.2,2018,158,Prime Video,"Two former lovers revisit their past with grace."
